"uuid","event_year","event_datetime","round","round_number","stadium","city","country","participant_team","goals_scored","goals_received","is_winner"
"4a6ae0e8-ba84-6428-f17d-a0dc956630bd",1930,1930-07-13 11:00:00.000 -0400,Group 1,1,Pocitos,Montevideo ,Uruguay,Mexico,1,4,false
fb8d2690-2b75-73c4-7ad8-b46974210036,1974,1974-06-18 16:30:00.000 -0300,Group 1,1,Olympiastadion,Berlin West ,Germany,Chile,1,1,false
"41870f38-58f7-936c-f92f-a06116db6195",1978,1978-06-07 10:45:00.000 -0300,Group 3,1,Estadio Josï¿½ Marï¿½a Minella,Mar Del Plata ,Argentina,Brazil,0,0,false
"98b49695-bf3c-78d2-194b-384899e739c5",1982,1982-07-05 18:00:00.000 -0300,Group 2,1,Santiago Bernabeu,Madrid ,Spain,England,0,0,false
"0a670026-13ec-d433-da36-a8f923fcb5e3",1954,1954-06-20 14:00:00.000 -0300,Group 2,1,Charmilles,Geneva ,Switzerland,Korea Republic,0,7,false
"5f415e12-25f8-dd42-c4b7-91f9e3d6a09f",2006,2006-06-22 18:00:00.000 -0300,Group F,1,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,Japan,1,4,false
dbe455e1-fb8a-79bb-a968-1b8ac7007965,1934,1934-05-31 12:30:00.000 -0400,Quarter-finals,3,Giovanni Berta,Florence ,Italy,Spain,1,1,false
"44df3c5b-d91b-a6bc-a73d-741a28d1e9a8",1982,1982-06-22 18:00:00.000 -0300,Group 6,1,La Rosaleda,Malaga ,Spain,Soviet Union,2,2,false
"10b30cb0-9c97-0020-cea6-56df74473f9a",1990,1990-06-20 18:00:00.000 -0300,Group C,1,Stadio delle Alpi,Turin ,Italy,Brazil,1,0,true
"8a59be21-4038-de08-2350-374544a0b3fa",2014,2014-06-18 13:00:00.000 -0300,Group B,1,Estadio do Maracana,Rio De Janeiro ,Brazil,Chile,2,0,true
b445064b-dcef-fa9e-6a75-ace5599a7f1c,1978,1978-06-14 13:45:00.000 -0300,Group B,1,San Martin,Mendoza ,Argentina,Brazil,3,0,true
d03ae94a-7863-79fa-4316-f50dfadea873,1954,1954-06-20 14:10:00.000 -0300,Group 4,1,Wankdorf Stadium,Berne ,Switzerland,Switzerland,0,2,false
a9f124bd-2ead-8541-b1d8-ca9b14ae84f6,2002,2002-06-12 17:30:00.000 -0300,Group B,1,Daejeon World Cup Stadium,Daejeon ,Korea/Japan,South Africa,2,3,false
"775370f7-62f9-576c-2703-bf3946d98785",2006,2006-07-08 18:00:00.000 -0300,Third place,4,Gottlieb-Daimler-Stadion,Stuttgart ,Germany,Portugal,1,3,false
"3290d4f6-8130-1f2c-2828-4ab672499c18",1930,1930-07-18 10:30:00.000 -0400,Group 3,1,Estadio Centenario,Montevideo ,Uruguay,Peru,0,1,false
a2d10f6e-ade4-cc7a-c3bb-6f7a0725f381,2002,2002-06-09 15:00:00.000 -0300,Group C,1,Incheon Football Stadium,Incheon ,Korea/Japan,Costa Rica,1,1,false
b5eaeb4b-5e2a-208d-cbfd-528f34c9797b,2006,2006-06-12 15:00:00.000 -0300,Group E,1,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,Germany,USA,0,3,false
"2ed0d6be-1dc7-1c22-6577-e47ba4653595",1990,1990-06-17 18:00:00.000 -0300,Group E,1,Marc Antonio Bentegodi,Verona ,Italy,Belgium,3,1,true
"6560684c-14cf-6fbf-094f-0f59542b6586",1962,1962-06-07 12:00:00.000 -0300,Group 1,1,Carlos Dittborn,Arica ,Chile,Yugoslavia,5,0,true
"5306fecb-e905-2e29-7b44-169ab161009e",2006,2006-06-10 12:00:00.000 -0300,Group B,1,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Germany,Paraguay,0,1,false
