"uuid","event_year","event_date","event_time","event_datetime","round","round_number","stadium","city","country","home_team","away_team","observation","winner_team","loser_team","penalty_definition","home_goals","home_goals_in_penalties","away_goals","away_goals_in_penalties"
e3d310df-8ee8-3548-62a1-796167efff25,2002,"17-Jun-02", 20:30 ,2002-06-17 17:30:00.000 -0300,Round of 16,2,Kobe Wing Stadium,Kobe ,Korea/Japan,Brazil,Belgium,,Brazil,Belgium,false,2,,0,
e403459b-0f33-d0c6-a46f-86c8afdb23b4,1986,"8-Jun-86", 16:00 ,1986-06-08 13:00:00.000 -0300,Group E,1,Neza,Nezahualcoyotl ,Mexico,Denmark,Uruguay,,Denmark,Uruguay,false,6,,1,
e4574cdf-0cd6-79e6-bc1b-d78e7e46d031,1950,"1-Jul-50", 15:00 ,1950-07-01 12:00:00.000 -0300,Group 1,1,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,Brazil,Yugoslavia,,Brazil,Yugoslavia,false,2,,0,
e508773a-868e-afd6-6a80-be29b87345e4,1974,"23-Jun-74", 16:00 ,1974-06-23 13:00:00.000 -0300,Group 4,1,Olympiastadion,Munich ,Germany,Argentina,Haiti,,Argentina,Haiti,false,4,,1,
e51b5297-81e6-8afc-f7ba-558251eb72bd,2002,"15-Jun-02", 15:30 ,2002-06-15 12:30:00.000 -0300,Round of 16,2,Jeju World Cup Stadium,Jeju ,Korea/Japan,Germany,Paraguay,,Germany,Paraguay,false,1,,0,
e57e22f9-8e55-96e4-cfff-8d137f1dbd45,1990,"19-Jun-90", 21:00 ,1990-06-19 18:00:00.000 -0300,Group A,1,Stadio Olimpico,Rome ,Italy,Italy,Czechoslovakia,,Italy,Czechoslovakia,false,2,,0,
e5b6ed24-f7eb-7cf3-3431-3b32b140505b,1998,"27-Jun-98", 16:30 ,1998-06-27 13:30:00.000 -0300,Round of 16,2,Stade Vï¿½lodrome,Marseilles ,France,Italy,Norway,,Italy,Norway,false,1,,0,
e5c8c0ae-564b-cd4a-6e29-64f8f381f487,1982,"16-Jun-82", 17:15 ,1982-06-16 14:15:00.000 -0300,Group 4,1,San Mames,Bilbao ,Spain,England,France,,England,France,false,3,,1,
e5cb159e-1ece-7709-8353-9b58348f1b05,1950,"16-Jul-50", 15:00 ,1950-07-16 12:00:00.000 -0300,Group 6,1,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,Uruguay,Brazil,,Uruguay,Brazil,false,2,,1,
e5d2d22b-97ff-7bae-23cb-780ee81f8475,1950,"2-Jul-50", 15:00 ,1950-07-02 12:00:00.000 -0300,Group 3,1,Pacaembu,Sao Paulo ,Brazil,Italy,Paraguay,,Italy,Paraguay,false,2,,0,
e5d67564-1fc3-b196-a04c-65abe8caf9de,1970,"3-Jun-70", 16:00 ,1970-06-03 13:00:00.000 -0300,Group 3,1,Jalisco,Guadalajara ,Mexico,Brazil,Czechoslovakia,,Brazil,Czechoslovakia,false,4,,1,
e60444c6-7be6-7984-6c7c-516a1c0f8654,1982,"25-Jun-82", 17:15 ,1982-06-25 14:15:00.000 -0300,Group 2,1,El Molinon,Gijon ,Spain,Germany FR,Austria,,Germany FR,Austria,false,1,,0,
e64e07a1-c092-592f-87be-d911c4a8e29f,2010,"22-Jun-10", 20:30 ,2010-06-22 17:30:00.000 -0300,Group B,1,Durban Stadium,Durban ,South Africa,Nigeria,Korea Republic,,,,false,2,,2,
e654e99d-8644-b571-7073-95804ca9deb9,1986,"5-Jun-86", 12:00 ,1986-06-05 09:00:00.000 -0300,Group C,1,Nou Camp - Estadio Leï¿½n,Leon ,Mexico,France,Soviet Union,,,,false,1,,1,
e65726cb-7d80-879f-7e92-d7e9388bcfcd,2006,"22-Jun-06", 16:00 ,2006-06-22 13:00:00.000 -0300,Group E,1,Franken-Stadion,Nuremberg ,Germany,Ghana,USA,,Ghana,USA,false,2,,1,
e7337dd5-7b3d-b64c-68ff-144bcabecf13,1938,"12-Jun-38", 17:00 ,1938-06-12 13:00:00.000 -0400,Quarter-finals,3,Stade Olympique,Colombes ,France,Italy,France,,Italy,France,false,3,,1,
e7407f7e-5d64-9a29-05f1-d221a786fd82,1986,"2-Jun-86", 12:00 ,1986-06-02 09:00:00.000 -0300,Group C,1,Estadio Irapuato,Irapuato ,Mexico,Soviet Union,Hungary,,Soviet Union,Hungary,false,6,,0,
e78089df-436c-d357-ac9d-0e0bbcf7e43d,2010,"23-Jun-10", 16:00 ,2010-06-23 13:00:00.000 -0300,Group C,1,Loftus Versfeld Stadium,Tshwane/Pretoria ,South Africa,USA,Algeria,,USA,Algeria,false,1,,0,
e79f368c-4e6b-8de4-d161-49b8ca031119,2010,"21-Jun-10", 13:30 ,2010-06-21 10:30:00.000 -0300,Group G,1,Cape Town Stadium,Cape Town ,South Africa,Portugal,Korea DPR,,Portugal,Korea DPR,false,7,,0,
e7c9d50d-c05a-afcd-1887-145c35d3e5b7,1950,"9-Jul-50", 15:00 ,1950-07-09 12:00:00.000 -0300,Group 6,1,Pacaembu,Sao Paulo ,Brazil,Uruguay,Spain,,,,false,2,,2,
e7cde40b-989d-802e-5f72-b47a0e63a405,1994,"18-Jun-94", 19:30 ,1994-06-18 16:30:00.000 -0300,Group A,1,Rose Bowl,Los Angeles ,USA,Colombia,Romania,,Romania,Colombia,false,1,,3,
e986def1-24ee-aeb7-da5b-9aacf3b157a6,1934,"3-Jun-34", 16:30 ,1934-06-03 12:30:00.000 -0400,Semi-finals,4,San Siro,Milan ,Italy,Italy,Austria,,Italy,Austria,false,1,,0,
e9a9d0b6-4a24-1221-d16f-b5e68055f3cb,1982,"10-Jul-82", 20:00 ,1982-07-10 17:00:00.000 -0300,Match for third place,1,Jose Rico Perez,Alicante ,Spain,Poland,France,,Poland,France,false,3,,2,
e9b9db2c-b911-139d-2640-82f2e225efab,1986,"7-Jun-86", 16:00 ,1986-06-07 13:00:00.000 -0300,Group F,1,Estadio Universitario,Monterrey ,Mexico,Poland,Portugal,,Poland,Portugal,false,1,,0,
ea00bcd3-a4cf-d8e0-3d51-e077d9bf19e6,1966,"26-Jul-66", 19:30 ,1966-07-26 15:30:00.000 -0400,Semi-finals,4,Wembley Stadium,London ,England,England,Portugal,,England,Portugal,false,2,,1,
ea1e98ec-1928-68dc-9d14-f0538faae297,1998,"26-Jun-98", 16:00 ,1998-06-26 13:00:00.000 -0300,Group H,1,Stade du Parc Lescure,Bordeaux ,France,Argentina,Croatia,,Argentina,Croatia,false,1,,0,
eadaeaf3-40fa-dc64-8f53-4b7090c9e32d,1982,"17-Jun-82", 17:45 ,1982-06-17 14:45:00.000 -0300,Group 4,1,Jose Zorrilla,Valladolid ,Spain,Czechoslovakia,Kuwait,,,,false,1,,1,
eae9ac44-70e7-55a0-cacc-317f6821a315,2002,"8-Jun-02", 18:00 ,2002-06-08 15:00:00.000 -0300,Group G,1,Kashima Stadium,Ibaraki ,Korea/Japan,Italy,Croatia,,Croatia,Italy,false,1,,2,
eb560cb6-32df-02a3-b63c-059e49614344,2006,"4-Jul-06", 21:00 ,2006-07-04 18:00:00.000 -0300,Semi-finals,4,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,Germany,Italy,Italy win after extra time ,Italy,Germany,false,0,,2,
ebe49735-063f-9e3e-9761-abcbd1bd9f39,1990,"1-Jul-90", 21:00 ,1990-07-01 18:00:00.000 -0300,Quarter-finals,3,San Paolo,Naples ,Italy,England,Cameroon,England win after extra time ,England,Cameroon,false,3,,2,
ec442a54-abcf-9825-139e-118ed5536d48,2006,"20-Jun-06", 21:00 ,2006-06-20 18:00:00.000 -0300,Group B,1,"FIFA World Cup Stadium, Cologne",Cologne ,Germany,Sweden,England,,,,false,2,,2,
ec7b52ef-104d-4c0f-9048-c6f8b0c3559d,1974,"19-Jun-74", 19:30 ,1974-06-19 16:30:00.000 -0300,Group 3,1,Niedersachsenstadion,Hanover ,Germany,Bulgaria,Uruguay,,,,false,1,,1,
ec844b86-4db3-d127-2e7b-c3c85d18c95e,2006,"27-Jun-06", 17:00 ,2006-06-27 14:00:00.000 -0300,Round of 16,2,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,Brazil,Ghana,,Brazil,Ghana,false,3,,0,
eca867e8-cb69-5948-d680-dbd2cd12c023,1994,"22-Jun-94", 19:30 ,1994-06-22 16:30:00.000 -0300,Group A,1,Rose Bowl,Los Angeles ,USA,USA,Colombia,,USA,Colombia,false,2,,1,
eccdd7c5-8957-2eac-cbdc-66f296f605a0,1966,"28-Jul-66", 19:30 ,1966-07-28 15:30:00.000 -0400,Match for third place,1,Wembley Stadium,London ,England,Portugal,Soviet Union,,Portugal,Soviet Union,false,2,,1,
edaa8cc1-a9c0-e0a4-cc83-77f2f516d0b4,1938,"12-Jun-38", 17:00 ,1938-06-12 13:00:00.000 -0400,Quarter-finals,3,Victor Boucquey,Lille ,France,Hungary,Switzerland,,Hungary,Switzerland,false,2,,0,
edbd41fe-6845-ab4a-c173-41b5d132b146,2010,"16-Jun-10", 20:30 ,2010-06-16 17:30:00.000 -0300,Group A,1,Loftus Versfeld Stadium,Tshwane/Pretoria ,South Africa,South Africa,Uruguay,,Uruguay,South Africa,false,0,,3,
edc7c21b-c7db-3114-49d6-c59b2221ad7d,1966,"16-Jul-66", 19:30 ,1966-07-16 15:30:00.000 -0400,Group 1,1,Wembley Stadium,London ,England,England,Mexico,,England,Mexico,false,2,,0,
ee36edaa-1aad-b5c5-8c4d-a7d3a35d19f4,1998,"22-Jun-98", 21:00 ,1998-06-22 18:00:00.000 -0300,Group G,1,Stade Municipal,Toulouse ,France,Romania,England,,Romania,England,false,2,,1,
ee6c23c5-c2ed-0062-cf22-9a4829b647ac,1954,"26-Jun-54", 17:00 ,1954-06-26 14:00:00.000 -0300,Quarter-finals,3,St. Jakob,Basel ,Switzerland,Uruguay,England,,Uruguay,England,false,4,,2,
eebe3504-1650-400b-de78-3a1662f80fbe,2006,"11-Jun-06", 15:00 ,2006-06-11 12:00:00.000 -0300,Group C,1,Zentralstadion,Leipzig ,Germany,Serbia and Montenegro,Netherlands,,Netherlands,Serbia and Montenegro,false,0,,1,
eefbcf7f-ea3f-b3fd-fd01-f04e0ad7f151,1962,"30-May-62", 15:00 ,1962-05-30 12:00:00.000 -0300,Group 2,1,Nacional,Santiago De Chile ,Chile,Chile,Switzerland,,Chile,Switzerland,false,3,,1,
ef343fa7-141e-ae46-97b3-5cc07d643fda,1950,"29-Jun-50", 15:00 ,1950-06-29 12:00:00.000 -0300,Group 2,1,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,Spain,Chile,,Spain,Chile,false,2,,0,
f027ce0a-250e-1f7e-401f-7ffd85e5a10b,1954,"19-Jun-54", 17:00 ,1954-06-19 14:00:00.000 -0300,Group 1,1,La Pontaise,Lausanne ,Switzerland,Brazil,Yugoslavia,,,,false,1,,1,
f1153ba3-72b4-db99-6200-6a560a8c9848,1950,"16-Jul-50", 15:00 ,1950-07-16 12:00:00.000 -0300,Group 6,1,Pacaembu,Sao Paulo ,Brazil,Sweden,Spain,,Sweden,Spain,false,3,,1,
f124276b-cbf7-5046-97a5-a271cd2e3f15,1938,"12-Jun-38", 17:00 ,1938-06-12 13:00:00.000 -0400,Quarter-finals,3,Stade du Parc Lescure,Bordeaux ,France,Brazil,Czechoslovakia,,,,false,1,,1,
f13df37b-ff34-f76a-00d0-714aa237642a,2010,"28-Jun-10", 20:30 ,2010-06-28 17:30:00.000 -0300,Round of 16,2,Ellis Park Stadium,Johannesburg ,South Africa,Brazil,Chile,,Brazil,Chile,false,3,,0,
f14f99a8-8172-6e89-6f1b-827c0653fbc8,2002,"4-Jun-02", 20:30 ,2002-06-04 17:30:00.000 -0300,Group D,1,Busan Asiad Main Stadium,Busan ,Korea/Japan,Korea Republic,Poland,,Korea Republic,Poland,false,2,,0,
f1625ad2-5ea9-1343-8af6-36b7951a7aef,1958,"15-Jun-58", 19:00 ,1958-06-15 16:00:00.000 -0300,Group 4,1,Nya Ullevi,Gothenburg ,Sweden,Brazil,Soviet Union,,Brazil,Soviet Union,false,2,,0,
f1b09acf-d3df-12ab-eb16-d4d12a6da5bb,2014,"26-Jun-14", 13:00 ,2014-06-26 10:00:00.000 -0300,Group G,1,Estadio Nacional,Brasilia ,Brazil,Portugal,Ghana,,Portugal,Ghana,false,2,,1,
f1c36ac2-6a20-b76a-8a2b-1ccb2d39262b,1978,"14-Jun-78", 19:15 ,1978-06-14 16:15:00.000 -0300,Group B,1,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Argentina,Argentina,Poland,,Argentina,Poland,false,2,,0,
f2262206-9afe-0550-35a9-872a588937ed,1994,"21-Jun-94", 19:30 ,1994-06-21 16:30:00.000 -0300,Group D,1,Cotton Bowl,Dallas ,USA,Nigeria,Bulgaria,,Nigeria,Bulgaria,false,3,,0,
f2950483-57b9-2cf4-3e14-0868f9cd2e2c,1990,"10-Jun-90", 21:00 ,1990-06-10 18:00:00.000 -0300,Group C,1,Stadio delle Alpi,Turin ,Italy,Brazil,Sweden,,Brazil,Sweden,false,2,,1,
f2c73174-69e6-e2ed-515d-bac0f926cf03,2006,"14-Jun-06", 15:00 ,2006-06-14 12:00:00.000 -0300,Group H,1,Zentralstadion,Leipzig ,Germany,Spain,Ukraine,,Spain,Ukraine,false,4,,0,
f3d2e3f2-1915-ec5e-6f8b-ceda39efc7f9,2014,"28-Jun-14", 17:00 ,2014-06-28 14:00:00.000 -0300,Round of 16,2,Estadio do Maracana,Rio De Janeiro ,Brazil,Colombia,Uruguay,,Colombia,Uruguay,false,2,,0,
f3d4e40f-72ec-81b8-418b-85de68597ae6,2002,"14-Jun-02", 15:30 ,2002-06-14 12:30:00.000 -0300,Group H,1,Osaka Nagai Stadium,Osaka ,Korea/Japan,Tunisia,Japan,,Japan,Tunisia,false,0,,2,
f42da496-e73c-d898-2a53-0874321469cb,1986,"5-Jun-86", 16:00 ,1986-06-05 13:00:00.000 -0300,Group A,1,Estadio Olï¿½mpico Universitario,Mexico City ,Mexico,Korea Republic,Bulgaria,,,,false,1,,1,
f58fa9aa-e34c-3f19-9e99-c853e34dfb3c,1970,"17-Jun-70", 16:00 ,1970-06-17 13:00:00.000 -0300,Semi-finals,4,Jalisco,Guadalajara ,Mexico,Brazil,Uruguay,,Brazil,Uruguay,false,3,,1,
f663726e-71a8-ba92-ef4e-51e30462b483,1966,"12-Jul-66", 19:30 ,1966-07-12 15:30:00.000 -0400,Group 2,1,Hillsborough,Sheffield ,England,Germany FR,Switzerland,,Germany FR,Switzerland,false,5,,0,
f69f565f-8277-77de-7010-86d0052c0703,2002,"17-Jun-02", 15:30 ,2002-06-17 12:30:00.000 -0300,Round of 16,2,Jeonju World Cup Stadium,Jeonju ,Korea/Japan,Mexico,USA,,USA,Mexico,false,0,,2,
f6a5db87-c4bf-784c-fcc4-9f1559a26243,2006,"30-Jun-06", 17:00 ,2006-06-30 14:00:00.000 -0300,Quarter-finals,3,Olympiastadion,Berlin ,Germany,Germany,Argentina,Germany win on penalties (4 - 2) ,Germany,Argentina,true,1,4,1,2
f6bb480e-76ef-4ce3-8fb9-e6285a7ab023,1994,"25-Jun-94", 16:00 ,1994-06-25 13:00:00.000 -0300,Group D,1,Foxboro Stadium,Boston ,USA,Argentina,Nigeria,,Argentina,Nigeria,false,2,,1,
f721e1b2-83d8-3225-93d6-f9a7b9524f38,1998,"21-Jun-98", 17:30 ,1998-06-21 14:30:00.000 -0300,Group H,1,Parc des Princes,Paris ,France,Argentina,Jamaica,,Argentina,Jamaica,false,5,,0,
f756a8df-08d8-7f06-cf3c-47abe2643a52,2010,"6-Jul-10", 20:30 ,2010-07-06 17:30:00.000 -0300,Semi-finals,4,Cape Town Stadium,Cape Town ,South Africa,Uruguay,Netherlands,,Netherlands,Uruguay,false,2,,3,
f76ef271-c412-d5a4-c9c2-9f1943b6ccc5,1994,"28-Jun-94", 12:30 ,1994-06-28 09:30:00.000 -0300,Group E,1,RFK Stadium,Washington Dc ,USA,Italy,Mexico,,,,false,1,,1,
f777c79a-747f-e961-9478-d05d880501aa,1998,"29-Jun-98", 16:30 ,1998-06-29 13:30:00.000 -0300,Round of 16,2,La Mosson,Montpellier ,France,Germany,Mexico,,Germany,Mexico,false,2,,1,
f7ab9768-24a8-668a-360f-b4259f5d8177,1974,"14-Jun-74", 16:00 ,1974-06-14 13:00:00.000 -0300,Group 1,1,Olympiastadion,Berlin West ,Germany,Germany FR,Chile,,Germany FR,Chile,false,1,,0,
f809a095-043d-846a-fb35-c938fb04b45f,1966,"16-Jul-66", 15:00 ,1966-07-16 11:00:00.000 -0400,Group 4,1,Roker Park Ground,Sunderland ,England,Soviet Union,Italy,,Soviet Union,Italy,false,1,,0,
f8492cb3-d079-4285-032f-7566d21a9beb,1970,"2-Jun-70", 16:00 ,1970-06-02 13:00:00.000 -0300,Group 3,1,Jalisco,Guadalajara ,Mexico,England,Romania,,England,Romania,false,1,,0,
f84f60ad-8cf6-bd9f-4810-a4d3e7c88b67,2006,"21-Jun-06", 21:00 ,2006-06-21 18:00:00.000 -0300,Group C,1,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Germany,Netherlands,Argentina,,,,false,0,,0,
f8a8a7d7-a35a-7be5-7521-26f5c073e99d,1998,"10-Jun-98", 21:00 ,1998-06-10 18:00:00.000 -0300,Group A,1,La Mosson,Montpellier ,France,Morocco,Norway,,,,false,2,,2,
f9a0c038-28b7-59c1-1e5a-c0aa3863a7b5,2002,"7-Jun-02", 18:00 ,2002-06-07 15:00:00.000 -0300,Group B,1,Jeonju World Cup Stadium,Jeonju ,Korea/Japan,Spain,Paraguay,,Spain,Paraguay,false,3,,1,
f9c386e9-e698-f325-4ac4-032a0661d6c2,1974,"30-Jun-74", 19:30 ,1974-06-30 16:30:00.000 -0300,Group B,1,Rheinstadion,Dï¿½Sseldorf ,Germany,Germany FR,Sweden,,Germany FR,Sweden,false,4,,2,
facba944-c43f-2de9-8e3a-745c26dff1ab,1950,"13-Jul-50", 15:00 ,1950-07-13 12:00:00.000 -0300,Group 6,1,Pacaembu,Sao Paulo ,Brazil,Uruguay,Sweden,,Uruguay,Sweden,false,3,,2,
fad409ec-da15-3914-7111-ff10cc7b6efc,2002,"10-Jun-02", 20:30 ,2002-06-10 17:30:00.000 -0300,Group D,1,Jeonju World Cup Stadium,Jeonju ,Korea/Japan,Portugal,Poland,,Portugal,Poland,false,4,,0,
fb8d2690-2b75-73c4-7ad8-b46974210036,1974,"18-Jun-74", 19:30 ,1974-06-18 16:30:00.000 -0300,Group 1,1,Olympiastadion,Berlin West ,Germany,Chile,German DR,,,,false,1,,1,
fb9cfe31-7685-bec6-97c1-875c536190d3,2006,"10-Jun-06", 18:00 ,2006-06-10 15:00:00.000 -0300,Group B,1,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,Trinidad and Tobago,Sweden,,,,false,0,,0,
fbe8c75b-2125-7e7e-1c0d-9a36f7afcf7d,1934,"3-Jun-34", 16:30 ,1934-06-03 12:30:00.000 -0400,Semi-finals,4,Nazionale PNF,Rome ,Italy,Czechoslovakia,Germany,,Czechoslovakia,Germany,false,3,,1,
fc055362-10c9-b704-fcb3-aec90116f45e,1998,"19-Jun-98", 17:30 ,1998-06-19 14:30:00.000 -0300,Group D,1,Parc des Princes,Paris ,France,Nigeria,Bulgaria,,Nigeria,Bulgaria,false,1,,0,
fc2bfd0f-b444-4d9a-683e-3092ef45bf77,1970,"31-May-70", 12:00 ,1970-05-31 09:00:00.000 -0300,Group 1,1,Estadio Azteca,Mexico City ,Mexico,Mexico,Soviet Union,,,,false,0,,0,
fc5655ee-a1ce-8468-45ab-a49c2e2b0e9d,1986,"18-Jun-86", 12:00 ,1986-06-18 09:00:00.000 -0300,Round of 16,2,Estadio Azteca,Mexico City ,Mexico,England,Paraguay,,England,Paraguay,false,3,,0,
fcddee03-7ad7-d76b-9882-c1be3338e444,1970,"3-Jun-70", 16:00 ,1970-06-03 13:00:00.000 -0300,Group 2,1,Luis Dosal,Toluca ,Mexico,Italy,Sweden,,Italy,Sweden,false,1,,0,
fd5cad0d-4d89-1e6a-f618-b2cff66b2f82,1974,"15-Jun-74", 18:00 ,1974-06-15 15:00:00.000 -0300,Group 4,1,Neckarstadion,Stuttgart ,Germany,Poland,Argentina,,Poland,Argentina,false,3,,2,
fd72d851-693f-8114-1281-f660cd1bc1e9,1930,"27-Jul-30", 14:45 ,1930-07-27 10:45:00.000 -0400,Semi-finals,4,Estadio Centenario,Montevideo ,Uruguay,Uruguay,Yugoslavia,,Uruguay,Yugoslavia,false,6,,1,
fd8d6bc7-2c8d-3f8d-eee2-93a95deb45a1,1962,"6-Jun-62", 15:00 ,1962-06-06 12:00:00.000 -0300,Group 1,1,Carlos Dittborn,Arica ,Chile,Soviet Union,Uruguay,,Soviet Union,Uruguay,false,2,,1,
fde516ab-ac7c-7ba2-e7db-0d2946e45cd0,1978,"11-Jun-78", 16:45 ,1978-06-11 13:45:00.000 -0300,Group 4,1,Estadio Olï¿½mpico Chateau Carreras,Cordoba ,Argentina,Peru,Iran,,Peru,Iran,false,4,,1,
fdfbbbf5-9513-28cc-b9dd-46b4251c936a,1998,"16-Jun-98", 17:30 ,1998-06-16 14:30:00.000 -0300,Group A,1,Stade du Parc Lescure,Bordeaux ,France,Scotland,Norway,,,,false,1,,1,
fe6538b9-0fce-4f1c-7c1f-4c8a3f146863,1978,"21-Jun-78", 19:15 ,1978-06-21 16:15:00.000 -0300,Group B,1,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Argentina,Argentina,Peru,,Argentina,Peru,false,6,,0,
fe8c7a06-621a-e003-2555-0fc5f07fee12,1994,"19-Jun-94", 19:30 ,1994-06-19 16:30:00.000 -0300,Group B,1,Rose Bowl,Los Angeles ,USA,Cameroon,Sweden,,,,false,2,,2,
fed0ee00-1aea-c9cb-747b-e403e898b79e,1986,"4-Jun-86", 16:00 ,1986-06-04 13:00:00.000 -0300,Group E,1,Neza,Nezahualcoyotl ,Mexico,Scotland,Denmark,,Denmark,Scotland,false,0,,1,
fedca809-1a5f-a32f-ffb9-ca8dacc4fc59,1998,"27-Jun-98", 21:00 ,1998-06-27 18:00:00.000 -0300,Round of 16,2,Parc des Princes,Paris ,France,Brazil,Chile,,Brazil,Chile,false,4,,1,
ffaf3410-764d-173d-3f03-4df74308e75e,1998,"20-Jun-98", 14:30 ,1998-06-20 11:30:00.000 -0300,Group H,1,La Beaujoire,Nantes ,France,Japan,Croatia,,Croatia,Japan,false,0,,1,
fff603d6-a605-2490-df7f-7d73158855cc,1970,"2-Jun-70", 16:00 ,1970-06-02 13:00:00.000 -0300,Group 2,1,Cuauhtemoc,Puebla ,Mexico,Uruguay,Israel,,Uruguay,Israel,false,2,,0,
