"uuid","event_year","event_date","event_time","event_datetime","round","round_number","stadium","city","country","home_team","away_team","observation","winner_team","loser_team","penalty_definition","home_goals","home_goals_in_penalties","away_goals","away_goals_in_penalties"
cb7d9e78-fbc7-7c06-3d5d-6d9ead0ac2fd,1998,"28-Jun-98", 21:00 ,1998-06-28 18:00:00.000 -0300,Round of 16,2,Stade de France,Saint-Denis ,France,Nigeria,Denmark,,Denmark,Nigeria,false,1,,4,
cb96decc-a3b8-ca2f-d14c-3be5fa0bb0a3,1994,"27-Jun-94", 16:00 ,1994-06-27 13:00:00.000 -0300,Group C,1,Cotton Bowl,Dallas ,USA,Germany,Korea Republic,,Germany,Korea Republic,false,3,,2,
cbceb83f-24c2-f682-0ec2-91d18260d033,1982,"23-Jun-82", 21:00 ,1982-06-23 18:00:00.000 -0300,Group 3,1,Jose Rico Perez,Alicante ,Spain,Argentina,El Salvador,,Argentina,El Salvador,false,2,,0,
cbfd8463-f8e7-2760-531f-bb49c3cbabc8,1930,"17-Jul-30", 12:45 ,1930-07-17 08:45:00.000 -0400,Group 2,1,Parque Central,Montevideo ,Uruguay,Yugoslavia,Bolivia,,Yugoslavia,Bolivia,false,4,,0,
cc60824f-c76e-d62f-ec8a-4fe030d72d6c,1998,"25-Jun-98", 21:00 ,1998-06-25 18:00:00.000 -0300,Group F,1,La Mosson,Montpellier ,France,Germany,Iran,,Germany,Iran,false,2,,0,
cca204fd-32bf-ffb2-8d17-f1e0e6b6c4da,2014,"14-Jun-14", 16:00 ,2014-06-14 13:00:00.000 -0300,Group D,1,Estadio Castelao,Fortaleza ,Brazil,Uruguay,Costa Rica,,Costa Rica,Uruguay,false,1,,3,
cd178477-791c-c159-5328-6d88425b4024,1990,"24-Jun-90", 17:00 ,1990-06-24 14:00:00.000 -0300,Round of 16,2,Stadio delle Alpi,Turin ,Italy,Brazil,Argentina,,Argentina,Brazil,false,0,,1,
cda984b9-5a43-3263-8944-d8ec73f551be,1994,"9-Jul-94", 14:30 ,1994-07-09 11:30:00.000 -0300,Quarter-finals,3,Cotton Bowl,Dallas ,USA,Netherlands,Brazil,,Brazil,Netherlands,false,2,,3,
ce0219e3-4329-2e80-e795-c3f5b6158ce4,1966,"13-Jul-66", 19:30 ,1966-07-13 15:30:00.000 -0400,Group 2,1,Villa Park,Birmingham ,England,Argentina,Spain,,Argentina,Spain,false,2,,1,
cebfc09d-4710-dd2c-6de9-23879e6b4bc0,2014,"18-Jun-14", 13:00 ,2014-06-18 10:00:00.000 -0300,Group B,1,Estadio Beira-Rio,Porto Alegre ,Brazil,Australia,Netherlands,,Netherlands,Australia,false,2,,3,
cf1c4e5b-3852-493b-3b49-158a39ab444a,1986,"1-Jun-86", 16:00 ,1986-06-01 13:00:00.000 -0300,Group C,1,Nou Camp - Estadio Leï¿½n,Leon ,Mexico,Canada,France,,France,Canada,false,0,,1,
cf60dda5-3781-7802-fa59-bbd2dda05e00,2010,"25-Jun-10", 20:30 ,2010-06-25 17:30:00.000 -0300,Group H,1,Loftus Versfeld Stadium,Tshwane/Pretoria ,South Africa,Chile,Spain,,Spain,Chile,false,1,,2,
cfae2e66-8b24-b6f2-ec8a-939987307d94,1982,"22-Jun-82", 21:00 ,1982-06-22 18:00:00.000 -0300,Group 3,1,Nuevo Estadio,Elche ,Spain,Belgium,Hungary,,,,false,1,,1,
d03ae94a-7863-79fa-4316-f50dfadea873,1954,"20-Jun-54", 17:10 ,1954-06-20 14:10:00.000 -0300,Group 4,1,Wankdorf Stadium,Berne ,Switzerland,England,Switzerland,,England,Switzerland,false,2,,0,
d08b0a92-ee33-c742-1bdc-821013d4f318,1962,"2-Jun-62", 15:00 ,1962-06-02 12:00:00.000 -0300,Group 1,1,Carlos Dittborn,Arica ,Chile,Yugoslavia,Uruguay,,Yugoslavia,Uruguay,false,3,,1,
d132aa48-9931-d185-80d1-f79991c50a0c,1970,"7-Jun-70", 12:00 ,1970-06-07 09:00:00.000 -0300,Group 1,1,Estadio Azteca,Mexico City ,Mexico,Mexico,El Salvador,,Mexico,El Salvador,false,4,,0,
d1e91a86-9662-5506-4df9-fb44e399409b,2014,"15-Jun-14", 16:00 ,2014-06-15 13:00:00.000 -0300,Group E,1,Estadio Beira-Rio,Porto Alegre ,Brazil,France,Honduras,,France,Honduras,false,3,,0,
d2a74940-e9f9-f4e7-b7da-d4329b8dd53a,1982,"15-Jun-82", 21:00 ,1982-06-15 18:00:00.000 -0300,Group 3,1,Nuevo Estadio,Elche ,Spain,Hungary,El Salvador,,Hungary,El Salvador,false,10,,1,
d33ea567-e1b3-91e1-f7f1-9bd876082248,1966,"16-Jul-66", 15:00 ,1966-07-16 11:00:00.000 -0400,Group 2,1,Villa Park,Birmingham ,England,Germany FR,Argentina,,,,false,0,,0,
d3740031-27eb-8291-6bf3-f6d110499d27,1966,"15-Jul-66", 19:30 ,1966-07-15 15:30:00.000 -0400,Group 3,1,Goodison Park,Liverpool ,England,Hungary,Brazil,,Hungary,Brazil,false,3,,1,
d3c1aa3f-759c-2334-1821-1749566429cc,1994,"23-Jun-94", 19:30 ,1994-06-23 16:30:00.000 -0300,Group C,1,Foxboro Stadium,Boston ,USA,Korea Republic,Bolivia,,,,false,0,,0,
d420c143-0bf2-6c41-6bb5-aa6c536b87af,1970,"10-Jun-70", 16:00 ,1970-06-10 13:00:00.000 -0300,Group 4,1,Nou Camp - Estadio Leï¿½n,Leon ,Mexico,Germany FR,Peru,,Germany FR,Peru,false,3,,1,
d4edc061-62cd-d6e3-8180-591e5ac3b87a,1966,"20-Jul-66", 19:30 ,1966-07-20 15:30:00.000 -0400,Group 3,1,Old Trafford Stadium,Manchester ,England,Hungary,Bulgaria,,Hungary,Bulgaria,false,3,,1,
d535a0f5-fd12-fee5-d07f-5a6007c7273b,1998,"11-Jul-98", 21:00 ,1998-07-11 18:00:00.000 -0300,Match for third place,1,Parc des Princes,Paris ,France,Netherlands,Croatia,,Croatia,Netherlands,false,1,,2,
